"","free_Ca","tauPhi","tauM"
"1",39,2.51,2.679
"2",5.87,2.512,2.676
"3",2.86,2.513,2.678
"4",1.35,2.513,2.676
"5",0.925,2.498,2.707
"6",0.602,2.498,2.705
"7",0.351,2.486,2.678
"8",39,2.503,2.68
"9",5.87,2.503,2.677
"10",2.86,2.503,2.677
"11",1.35,2.504,2.683
"12",0.925,2.489,2.703
"13",0.602,2.49,2.7
"14",0.351,2.48,2.686
"15",39,2.498,2.679
"16",5.87,2.499,2.683
"17",2.86,2.499,2.68
"18",1.35,2.499,2.677
"19",0.925,2.485,2.704
"20",0.602,2.485,2.701
"21",0.351,2.479,2.689
